customer_id,full_name,city,state,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C00046,"Aditya Nair",Jaipur,Rajasthan,43,6,160334.08,5,5,5,15,Champion
C00382,"Isha Verma",Visakhapatnam,"Andhra pradesh",121,3,97232.55,3,3,5,11,Regulars
C01016,"Ananya Basu",Chennai,"Tamil nadu",94,2,97168.91,3,2,5,10,Regulars
C00916,"Diya Mishra",Pune,Maharashtra,61,6,91491.38,5,5,5,15,Champion
C00208,"Rohan Kulkarni",Jaipur,Rajasthan,82,5,90070.90,4,5,5,14,Champion
C00170,"Ria Mukherjee",Kolkata,"West bengal",38,4,86600.68,5,4,5,14,Champion
C00994,"Vikram Naidu",Chennai,"Tamil nadu",38,6,71214.53,5,5,5,15,Champion
C01938,"Ria Menon",Chennai,"Tamil nadu",114,4,70103.00,3,4,5,12,Loyal
C00691,"Sanya Mukherjee",Delhi,Delhi,64,9,69035.23,4,5,5,14,Champion
C01477,"Vikram Naidu",Ahmedabad,Gujarat,123,1,63528.24,3,1,5,9,Regulars
C00667,"Anvi Gupta",Delhi,Delhi,38,5,63296.68,5,5,5,15,Champion
C00362,"Ria Gupta",Kochi,Kerala,147,3,62338.60,2,3,5,10,"At Risk"
C00781,"Kavya Singh",Jaipur,Rajasthan,126,6,61042.31,3,5,5,13,Loyal
C01429,"Aditya Reddy",Kochi,Kerala,163,7,59684.65,2,5,5,12,"At Risk"
C00665,"Anvi Verma",Delhi,Delhi,134,5,57494.80,2,4,5,11,"At Risk"
C01446,"Ria Gupta",Ahmedabad,Gujarat,66,4,56497.85,4,4,5,13,Champion
C00682,"Neha Chowdhury",Hyderabad,Telangana,56,9,56305.47,5,5,5,15,Champion
C00692,"Aisha Rao",Kolkata,"West bengal",45,4,56209.50,5,4,5,14,Champion
C01905,"Ritu Patel",Delhi,Delhi,171,3,53740.60,2,3,5,10,"At Risk"
C00160,"Vikram Rao",Bengaluru,Karnataka,37,8,53737.86,5,5,5,15,Champion
C00552,"Ritu Reddy",Ahmedabad,Gujarat,68,6,53389.02,4,5,5,14,Champion
C00063,"Aisha Das",Chennai,"Tamil nadu",41,6,51920.65,5,5,5,15,Champion
C00086,"Aditya Das",Mumbai,Maharashtra,148,3,51387.09,2,3,5,10,"At Risk"
C00973,"Neha Naidu",Hyderabad,Telangana,151,7,51332.94,2,5,5,12,"At Risk"
C00232,"Aisha Basu",Mumbai,Maharashtra,60,4,50362.27,5,4,5,14,Champion
C01981,"Rahul Basu",Mumbai,Maharashtra,80,2,49886.37,4,2,5,11,Regulars
C01486,"Kabir Das",Hyderabad,Telangana,62,5,49609.11,4,5,5,14,Champion
C00514,"Anvi Kulkarni",Kolkata,"West bengal",65,7,48937.04,4,5,5,14,Champion
C01907,"Neha Iyer",Delhi,Delhi,237,5,48743.48,1,4,5,10,"At Risk"
C01323,"Neha Rao",Kochi,Kerala,117,4,48325.94,3,4,5,12,Loyal
C00866,"Aditya Mukherjee",Delhi,Delhi,139,5,47663.80,2,4,5,11,"At Risk"
C00106,"Aditya Iyer",Visakhapatnam,"Andhra pradesh",93,7,46765.53,4,5,5,14,Champion
C01015,"Ria Mukherjee",Kochi,Kerala,172,5,46454.70,2,4,5,11,"At Risk"
C00143,"Aarav Patel",Ahmedabad,Gujarat,86,6,46390.70,4,5,5,14,Champion
C00952,"Kavya Basu",Ahmedabad,Gujarat,64,6,45962.85,4,5,5,14,Champion
C01426,"Rohan Mukherjee",Ahmedabad,Gujarat,129,4,45870.66,3,4,5,12,Loyal
C00491,"Ananya Joshi",Hyderabad,Telangana,92,5,45147.38,4,5,5,14,Champion
C01471,"Aditya Rao",Kolkata,"West bengal",117,5,44961.18,3,4,5,12,Loyal
C00440,"Samar Singh",Jaipur,Rajasthan,126,6,44890.72,3,5,5,13,Loyal
C01177,"Sanya Sharma",Delhi,Delhi,157,4,43548.33,2,4,5,11,"At Risk"
C00625,"Isha Singh",Kolkata,"West bengal",123,5,43363.98,3,4,5,12,Loyal
C00097,"Vivaan Gupta",Kochi,Kerala,44,7,41950.91,5,5,5,15,Champion
C01381,"Rohan Nair",Jaipur,Rajasthan,51,9,41630.31,5,5,5,15,Champion
C00214,"Anvi Menon",Kolkata,"West bengal",58,4,41357.78,5,4,5,14,Champion
C00403,"Samar Mishra",Mumbai,Maharashtra,96,3,41080.38,3,3,5,11,Regulars
C01473,"Irfan Mishra",Kochi,Kerala,94,8,41059.19,3,5,5,13,Loyal
