customer_id,full_name,email,phone,city,state,country
C01222,Kabir Mishra,kabir.mishra749@outlook.com,6038375412,Lucknow,Uttar Pradesh,india
C01478,Vivaan Joshi,vivaan.joshi885@outlook.com,3822672001,Kolkata,West Bengal,India
C00131,Rahul Chowdhury,rahul.chowdhury188@yahoo.com,9519554784,Hyderabad,telangana,India
C01543,Kavya Mukherjee,kavya.mukherjee228@gmail.com,77816958,Delhi,Delhi,India
C01004,Ria Menon,ria.menon782@mail.com,1452982688,Lucknow,Uttar Pradesh,India
C00546,Aditya Rao,AARAV.KHAN630@MAIL.COM,6399958988,Kolkata,West Bengal,India
C01089,Anvi Reddy,anvi.reddy100@mail.com,6013090009,Lucknow,Uttar Pradesh,India
C00667,Anvi Gupta,anvi.gupta283@gmail.com,3109165251,Delhi,Delhi,India
C01846,Isha Kulkarni,isha.kulkarni279@gmail.com,3238093560,Lucknow,Uttar Pradesh,India
C01103,Kavya Chowdhury,kavya.chowdhury50@mail.com,2288865302,Delhi,Delhi,india
C00043,Ritu Verma,ritu.verma547@gmail.com,7981945467,Visakhapatnam,Andhra Pradesh,india
C00664,Kavya Chandra,kavya.chandra102@yahoo.com,564209312,Kochi,Kerala,India
C01883,Neha Khan,neha.khan95@yahoo.com,1048299008,Hyderabad,Telangana,India
C00062,Sneha Kulkarni,sneha.kulkarni142@outlook.com,5263576603,Kochi,Kerala,India
C00733,Kabir Sharma,kabir.sharma615@yahoo.com,4055592379,Pune,Maharashtra,India
C01396,Aisha Mishra,aisha.mishra518@outlook.com,7939087603,Pune,Maharashtra,India
C00596,Anvi Mishra,anvi.mishra468@yahoo.com,39795333,Visakhapatnam,Andhra Pradesh,india
C00119,Rahul Basu,rahul.basu195@mail.com,1381229314,Hyderabad,Telangana,India
C00808,Samar Sharma,samar.sharma360@gmail.com,678157363,Kolkata,West Bengal,India
C00030,Samar Reddy,samar.reddy592@gmail.com,1444405798,Hyderabad,TELANGANA,india
C01452,Kabir Basu,kabir.basu31@yahoo.com,935909467,Pune,Maharashtra,India
